Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
																																						0	0	0
Sturdy	0	1	1	4		3				0	101	ac%		40	60											armo												0	0	0
Strong	0	1	1	9		6				0	101	ac%		62	80											armo												0	0	0
Glorious	0	1	1	19		14				0	101	ac%		82	100											armo												0	0	0
Blessed	0	1	1	25		18				0	101	ac%		102	130											armo												0	0	0
Saintly	0	1	1	31		23				0	101	ac%		132	160									1	dgld	armo												0	0	0
Holy	0	1	1	36		27				0	101	ac%		162	200									1	dgld	armo												0	0	0
Devious	0	1	1	7		5				0	103	red-mag	0	2	2									1	dblu	shld												0	0	0
Fortified	0	1	1	14		10				0	103	red-mag	0	4	4									1	dblu	shld												0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Jagged	0	1	1	1		1				0	106	dmg%	0	20	40											weap												0	0	0
Deadly	0	1	1	5		3				0	106	dmg%	0	42	60											weap												0	0	0
Vicious	0	1	1	8		6				0	106	dmg%	0	62	80											weap												0	0	0
Brutal	0	1	1	14		10				0	106	dmg%	0	82	100											weap												0	0	0
Massive	0	1	1	20		15				0	106	dmg%	0	102	130									1	dgld	weap												0	0	0
Savage	0	1	1	26		19				0	106	dmg%	0	132	160									1	dgld	weap							staf	wand				0	0	0
Merciless	0	1	1	32		24				0	106	dmg%	0	162	200									1	dgld	weap							staf	wand				0	0	0
Vulpine	0	1	1	9		6				0	107	dmg-to-mana	0	20	20									1	cblu	shld	amul											0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Tireless	0	1	1	14		10				0	109	regen-stam	0	100	100											boot												0	0	0
Rugged	0	1	1	14		10				0	110	stam	0	10	20											boot	glov	belt	ring	amul								0	0	0
Bronze	0	1	1	1		1				0	111	att	0	20	40											weap	ring	glov	amul									0	0	0
Iron	0	1	1	4		3				0	111	att	0	42	80											weap	ring											0	0	0
Steel	0	1	1	8		6				0	111	att	0	82	120											weap	ring											0	0	0
Silver	0	1	1	12		9				0	111	att	0	122	160											weap	ring											0	0	0
																																						0	0	0
Gold	0	1	1	17		12				0	111	att	0	162	200									1	lgld	weap												0	0	0
Platinum	0	1	1	22		16				0	111	att	0	202	240									1	lgld	weap	ring											0	0	0
Meteoric	0	1	1	27		20				0	111	att	0	242	300									1	lgld	weap	ring						staf	wand				0	0	0
Sharp	0	1	1	5		3				0	112	att	0	20	40	dmg%	0	20	40							weap												0	0	0
Fine	0	1	1	9		6				0	112	att	0	42	80	dmg%	0	42	60							weap												0	0	0
Warrior's	0	1	1	15		11				0	112	att	0	82	120	dmg%	0	62	80							weap												0	0	0
Soldier's	0	1	1	21		15				0	112	att	0	122	160	dmg%	0	82	100							weap												0	0	0
Knight's	0	1	1	25		18				0	112	att	0	162	200	dmg%	0	102	130					1	dgld	weap												0	0	0
Lord's	0	1	1	30		22				0	112	att	0	202	240	dmg%	0	132	160					1	dgld	weap							staf	wand				0	0	0
King's	0	1	1	35		26				0	112	att	0	242	300	dmg%	0	162	200					1	dgld	weap							staf	wand				0	0	0
Howling	0	1	1	16		12				0	113	howl	0	256	256									1	oran	weap							miss					0	0	0
Fortuitous	0	1	1	5		3				0	114	mag%	0	20	30											ring	amul											0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Glimmering	0	1	1	1		1				0	116	light	0	2	2											armo	wand	staf	ring	amul								0	0	0
Glowing	0	1	1	6		4				0	116	light	0	4	4									1	lyel	armo	wand	staf	ring	amul								0	0	0
																																						0	0	0
																																						0	0	0
Lizard's	0	1	1	3		2				0	118	mana	0	2	10											armo	ring	amul	rod				boot	glov				0	0	0
																																						0	0	0
Snake's	0	1	1	6		4				0	118	mana	0	10	20											shld	rod	belt	ring	amul								0	0	0
Serpent's	0	1	1	14		10				0	118	mana	0	22	40											shld	rod	belt	ring	amul								0	0	0
Serpent's	0	1	1	37		27				0	118	mana	0	22	40											tors	helm	boot	glov	mele			h2h	rod				0	0	0
Drake's	0	1	1	20		15				0	118	mana	0	42	60									1	cblu	rod	ring	amul	belt									0	0	0
Dragon's	0	1	1	24		18				0	118	mana	0	62	80									1	cblu	rod	ring	amul										0	0	0
Dragon's	0	1	1	52		39				0	118	mana	0	62	80									1	cblu	tors	helm	boot	glov									0	0	0
Wyrm's	0	1	1	30		22				0	118	mana	0	82	120									1	cblu	rod	ring	amul										0	0	0
																																						0	0	0
																																						0	0	0
Prismatic	0	1	1	27		20				0	120	res-all	0	30	50									1	lpur	amul												0	0	0
Prismatic	0	1	1	62		46				0	120	res-all	0	30	30									1	lpur	ring												0	0	0
Azure	0	1	1	5		3				0	121	res-cold	0	10	20											armo	rod	miss	ring	amul								0	0	0
Lapis	0	1	1	12		9				0	121	res-cold	0	22	40											armo	ring	amul	rod									0	0	0
Lapis	0	1	1	35		26				0	121	res-cold	0	22	40											weap	glov						rod					0	0	0
Cobalt	0	1	1	18		13				0	121	res-cold	0	42	60											armo	ring	amul	rod				glov					0	0	0
Cobalt	0	1	1	55		41				0	121	res-cold	0	42	60											weap	glov						rod					0	0	0
																																						0	0	0
Sapphire	0	1	1	25		18				0	121	res-cold	0	62	100									1	lblu	rod	boot	ring	amul	miss			scep					0	0	0
																																						0	0	0
																																						0	0	0
Crimson	0	1	1	5		3				0	122	res-fire	0	10	20											armo	rod	miss	ring	amul	amul							0	0	0
Burgundy	0	1	1	12		9				0	122	res-fire	0	22	40											armo	rod	ring	amul	amul								0	0	0
Burgundy	0	1	1	35		26				0	122	res-fire	0	22	40											weap							rod					0	0	0
Garnet	0	1	1	18		13				0	122	res-fire	0	42	60											armo	rod	ring	amul				glov					0	0	0
