Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Health	0	1	1	7		5					1	red-dmg		2	2									1	dblu	tors	helm	shld	ring	amul						0	0	0
of Protection	0	1	1	18		13					1	red-dmg		4	4									1	dblu	ring	amul									0	0	0
of Absorption	0	1	1	26		19					1	red-dmg		6	6									1	dblu	amul										0	0	0
of Life	0	1	1	35		26					1	red-dmg		8	8									1	dblu	amul										0	0	0
		1																																		0	0	0
of Warding	0	1	1	7		5					2	red-mag		2	2											tors	helm	shld	ring	amul						0	0	0
of the Sentinel	0	1	1	18		13					2	red-mag		4	4											ring	amul									0	0	0
of Guarding	0	1	1	26		19					2	red-mag		6	6											amul										0	0	0
of Negation	0	1	1	35		26					2	red-mag		8	8											amul										0	0	0
																																				0	0	0
of Piercing	0	1	1	25		18					3	ignore-ac		2	2											rod										0	0	0
of Bashing	0	1	1	16		12					4	dmg-ac		-50	-80											mele							wand	staf		0	0	0
of Puncturing	0	1	1	6		4					4	dmg-ac		-20	-40											mele							wand	staf		0	0	0
of Thorns	0	1	1	14		10					5	thorns		2	6									1	oran	tors	helm	shld	belt							0	0	0
of Spikes	0	1	1	21		15					5	thorns		4	12									1	oran	tors	helm	shld	belt							0	0	0
of Readiness	0	1	1	1		1					6	swing1		20	20									1	dyel	weap	glov									0	0	0
of Alacrity	0	1	1	8		6					6	swing2		40	40									1	dyel	weap	bowq	xboq								0	0	0
of Swiftness	0	1	1	19		14					6	swing2		60	60									1	dyel	mele							wand	staf		0	0	0
of Quickness	0	1	1	25		18					6	swing3		80	80									1	dyel	mele							wand	staf		0	0	0
of Blocking	0	1	1	1		1					7	block		20	20											shld										0	0	0
of Deflecting	0	1	1	11		8					7	block		40	40											shld										0	0	0
of the Apprentice	0	1	1	5		3					8	cast1		20	20											rod	ring	amul								0	0	0
of the Magus	0	1	1	17		12					8	cast3		40	40											rod										0	0	0
of Frost	0	1	1	4		3					9	cold-min		2	2	cold-max		2	8	cold-len		125	125	1	dblu	weap	bowq	xboq								0	0	0
of the Glacier	0	1	1	18		13					9	cold-min		8	8	cold-max		8	24	cold-len		150	150	1	dblu	mele										0	0	0
of Frost	0	1	1	55		41					9	cold-min		2	2	cold-max		2	8	cold-len		125	125	1	dblu	belt	amul									0	0	0
of Warmth	0	1	1	10		7					10	half-freeze		2	2									1	dblu	shld	boot	glov	ring	amul						0	0	0
of Flame	0	1	1	4		3					11	fire-min		2	2	fire-max		4	12					1	dred	weap	bowq	xboq								0	0	0
of Fire	0	1	1	15		11					11	fire-min		4	4	fire-max		12	22					1	dred	weap	bowq	xboq								0	0	0
of Burning	0	1	1	25		18					11	fire-min		20	20	fire-max		20	40					1	dred	weap	bowq	xboq								0	0	0
of Flame	0	1	1	40		30					11	fire-min		2	2	fire-max		4	12					1	dred	glov	ring	amul								0	0	0
of Shock	0	1	1	4		3					12	ltng-min		2	2	ltng-max		16	16					1	dyel	weap	bowq	xboq								0	0	0
of Lightning	0	1	1	15		11					12	ltng-min		2	2	ltng-max		32	32					1	dyel	weap	bowq	xboq								0	0	0
of Thunder	0	1	1	25		18					12	ltng-min		2	2	ltng-max		64	64					1	dyel	weap	bowq	xboq								0	0	0
of Shock	0	1	1	50		37					12	ltng-min		2	2	ltng-max		16	16					1	dyel	boot	ring	amul	weap				miss	rod		0	0	0
of Craftsmanship	0	1	1	1		1					13	dmg-max		2	4									1	blac	weap	ring	amul								0	0	0
of Quality	0	1	1	4		3					13	dmg-max		4	4									1	blac	weap	bowq	xboq								0	0	0
of Maiming	0	1	1	7		5					13	dmg-max		6	8									1	blac	weap	bowq	xboq								0	0	0
of Slaying	0	1	1	11		8					13	dmg-max		10	14									1	blac	weap	bowq	xboq								0	0	0
of Gore	0	1	1	14		10					13	dmg-max		16	20									1	blac	weap	bowq	xboq								0	0	0
of Carnage	0	1	1	19		14					13	dmg-max		22	28									1	blac	weap	bowq	xboq					wand	staf		0	0	0
of Slaughter	0	1	1	25		18					13	dmg-max		30	40									1	blac	weap	bowq	xboq					wand	staf		0	0	0
of Maiming	0	1	1	42		31					13	dmg-max		6	8									1	blac	shld	ring	amul								0	0	0
of Worth	0	1	1	2		1					14	dmg-min		2	2									1	blac	weap	bowq	xboq					rod			0	0	0
of Measure	0	1	1	6		4					14	dmg-min		4	4									1	blac	weap	bowq	xboq								0	0	0
of Excellence	0	1	1	12		9					14	dmg-min		6	6									1	blac	weap	ring	amul								0	0	0
of Performance	0	1	1	18		13					14	dmg-min		8	10									1	blac	weap	bowq	xboq								0	0	0
of Measure	0	1	1	37		27					14	dmg-min		4	4									1	blac	tors	helm	ring	amul							0	0	0
of Blight	0	1	1	5		3					15	pois-min		16	16	pois-max		48	48	pois-len		75	75	1	dgrn	weap	bowq	xboq					scep			0	0	0
of Venom	0	1	1	15		11					15	pois-min		32	32	pois-max		96	96	pois-len		75	75	1	dgrn	weap	bowq	xboq					scep			0	0	0
of Pestilence	0	1	1	25		18					15	pois-min		64	64	pois-max		144	144	pois-len		100	100	1	dgrn	weap	bowq	xboq					scep			0	0	0
of Blight	0	1	1	45		33					15	pois-min		16	16	pois-max		48	48	pois-len		75	75	1	dgrn	ring	amul									0	0	0
of Dexterity	0	1	1	4		3					16	dex		2	2											ring	amul									0	0	0
of Dexterity	0	1	1	5		3					16	dex		2	6											scep	miss	boot	glov	ring	amul					0	0	0
of Skill	0	1	1	10		7					16	dex		8	12											scep	miss	boot	glov	ring	amul					0	0	0
of Skill	0	1	1	45		33					16	dex		8	12											armo							boot	glov		0	0	0
of Accuracy	0	1	1	18		13					16	dex		14	20											scep	miss	boot	glov	ring	amul					0	0	0
of Precision	0	1	1	22		16					16	dex		22	30											scep	miss	amul								0	0	0
of Precision	0	1	1	60		45					16	dex		22	30											armo	ring									0	0	0
of Perfection	0	1	1	30		22					16	dex		32	40									1	dgld	miss	glov	amul								0	0	0
of Balance	0	1	1	5		3					17	balance1		20	20											armo							glov			0	0	0
of Stability	0	1	1	9		6					17	balance3		40	40									1	dyel	armo							glov			0	0	0
																																				0	0	0
of Regeneration	0	1	1	10		7					19	regen		6	6									1	cred	scep	belt	ring	amul							0	0	0
of Regeneration	0	1	1	40		30					19	regen		6	6									1	cred	shld	glov									0	0	0
of Regeneration	0	1	1	70		52					19	regen		6	6									1	cred	tors	helm	weap	boot				scep			0	0	0
of Regrowth	0	1	1	17		12					19	regen		10	10									1	cred	scep	amul									0	0	0
