Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Gold			1						gld	2																						0
Amulets			1						amu	6	nane	6	naas	6	naso	6	napa	6	nadr	6	naam	6	naba	6								0
NewGems2			1						~z1	8	~z2	8	~z4	8	~z4	8	~z5	8	~z3	8												0
NewGems3			1						st1	6	st2	6	st3	6	st4	6	st5	6	st6	6	st7	6	st8	6	st9	6						
NewGems			1						~n1	8	~n2	8	~n3	8	~n4	6	~n5	6														0
Organs			1						eyz	7	hrn	7	tal	7	flg	4	fng	7	qll	7	spe	7	jaw	6	brz	6	tch	4				0
Jewelry A			1						rin	8	amu	8	jew	8	cm3	8	cm2	8	cm1	8	bm1	6	rm1	6	gm1	6	ym1	6				0
Jewelry B			1						rin	8	amu	8	jew	8	cm3	8	cm2	8	cm1	8	bm1	6	rm1	6	gm1	6	ym1	6				0
Jewelry C			1						rin	8	amu	8	jew	8	cm3	8	cm2	8	cm1	8	bm1	6	rm1	6	gm1	6	ym1	6				0
Chipped Gem			1						gcv	6	gcy	6	gcb	6	gcg	3	gcr	3	gcw	3	skc	2										0
Flawed Gem			1						gfv	6	gfy	6	gfb	6	gfg	3	gfr	3	gfw	3	skf	2	~z4	6	~z5	6						0
Normal Gem			1						gsv	6	gsy	6	gsb	6	gsg	3	gsr	3	gsw	3	sku	2	~z2	6	~z1	6	~z3	6				0
Flawless Gem			1						gzv	6	gly	6	glb	6	glg	3	glr	3	glw	3	skl	2	~n4	6	~n5	6						0
Perfect Gem			1						gpv	6	gpy	6	gpb	6	gpg	3	gpr	3	gpw	3	skz	2	~n1	6	~n2	6	~n3	6				0
Ammo			1						aqv	2	cqv	2	ebq	1	eaq	1																0
Misc 0			1						key	6	tsc	6	isc	6	opl	2	gpl	2	Organs	4	NewGems2	1	NewGems	1	NewGems3	1						0
Misc 1			1						key	6	tsc	6	isc	6	opm	2	gpm	2	Organs	4	NewGems2	1	NewGems	1	NewGems3	1						0
Misc 2			1						key	6	tsc	6	isc	6	ops	2	gps	2	Organs	4	NewGems2	1	NewGems	1	NewGems3	1						0
Hpotion 1			1						hp1	16	hp2	6	mp1	6	mp2	2	rvs	1														0
Hpotion 2			1						hp1	2	hp2	8	hp3	6	mp2	2	mp3	2	rvs	1												0
Hpotion 3			1						hp2	2	hp3	8	hp4	6	mp3	2	mp4	2	rvs	1												0
Hpotion 4			1						hp3	2	hp4	8	hp5	6	mp4	2	mp5	2	rvs	1												0
Hpotion 5			1						hp3	2	hp4	8	hp5	8	mp5	4	rvs	1														0
Hpotion 6			1						hp4	8	hp5	12	mp4	4	mp5	4	rvs	1														0
Potion 1			1						hp1	12	hp2	6	mp1	8	mp2	4	rvs	1	vps	4												0
Potion 2			1						hp1	8	hp2	16	hp3	10	mp2	2	mp3	5	rvs	1	vps	2	yps	3	wms	1						0
Potion 3			1						hp2	12	hp3	12	hp4	8	mp3	3	mp4	3	rvs	1	vps	2	yps	2	wms	1						0
Potion 4			1						hp3	12	hp4	12	hp5	8	mp4	3	mp5	3	rvs	1	vps	2	yps	2	wms	1						0
Potion 5			1						hp3	8	hp4	12	hp5	12	mp5	5	rvs	1	vps	2	yps	2	wms	1								0
Potion 6			1						hp4	12	hp5	16	mp4	2	mp5	5	rvs	1	vps	2	yps	2	wms	1								0
Runes 1			1						r01	8	r02	8	r34	8																		0
Runes 2			1						r03	8	r04	8	r35	8	r36	8	Runes 1	10														0
Runes 3			1						r05	8	r06	8	r37	8	r38	8	Runes 2	20														0
Runes 4			1						r07	8	r08	8	r39	8	r40	8	Runes 3	30														0
Runes 5			1						r09	8	r10	8	r41	8	r42	8	Runes 4	40														0
Runes 6			1						r11	8	r12	8	r43	8	r44	8	Runes 5	50														0
Runes 7			1						r13	8	r14	8	r45	8	r46	8	Runes 6	60														0
Runes 8			1						r15	8	r16	8	r47	8	r48	8	Runes 7	70														0
Runes 9			1						r17	8	r18	8	r49	8	r50	8	Runes 8	75														0
Runes 10			1						r19	8	r20	8	r51	8	r52	8	Runes 9	80														0
Runes 11			1						r21	8	r22	8	r53	8	r54	8	Runes 10	85														0
Runes 12			1						r23	8	r24	8	r55	8	r56	8	Runes 11	90														0
Runes 13			1						r25	8	r26	8	r57	8	r58	8	Runes 12	95														0
Runes 14			1						r27	8	r28	8	r59	8	r60	8	Runes 13	100														0
Runes 15			1						r29	8	r30	8	r61	8	r62	8	Runes 14	100														0
Runes 16			1						r31	8	r32	8	r63	8	r64	8	Runes 15	100														0
Runes 17			1						r33	8			r65	8	r66	8	Runes 16	100														0
Act 1 Junk			1						Potion 1	16	Misc 0	8	Ammo	8																		0
Act 2 Junk			1						Act 1 Junk	4	Potion 2	16	Misc 0	8	Ammo	4																0
Act 3 Junk			1						Act 2 Junk	4	Potion 3	16	Misc 1	8	Ammo	4																0
Act 4 Junk			1						Act 3 Junk	4	Potion 4	16	Misc 1	8	Ammo	4																0
Act 5 Junk			1						Act 4 Junk	4	Potion 5	16	Misc 2	8	Ammo	4																0
Act 1 (N) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo	4																0
Act 2 (N) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo	4																0
Act 3 (N) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo	4																0
Act 4 (N) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo	4																0
Act 5 (N) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo	4																0
Act 1 (H) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo	4																0
Act 2 (H) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo	4																0
Act 3 (H) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo	4																0
Act 4 (H) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo	4																0
Act 5 (H) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo	4																0
Act 1 Equip A	1	0	1						weap3	14	armo3	14																				0
Act 1 Equip B	1	12	1						weap3	6	armo3	6	weap6	14	armo6	7																0
Act 1 Equip C	1	22	1						weap3	4	armo3	2	weap6	12	armo6	3	weap9	14	armo9	7	weap12	2	armo12	1								0
Act 2 Equip A	1	29	1						weap6	4	armo6	2	weap9	12	armo9	3	weap12	14	armo12	7	weap15	2	armo15	1	Act 1 Equip C	30			36	66	0.4545	0
Act 2 Equip B	1	36	1						weap9	4	armo9	2	weap12	12	armo12	3	weap15	14	armo15	7	weap18	2	armo18	1	Act 2 Equip A	60			36	96	0.625	0
