Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
Fletcher's	100	1	1	1		15		1	4	300	skilltab	0	2	2										dgrn	armo	weap									0	0	0
Bowyer's	100	1	1	40		30			3	300	skilltab	0	4	4										lgrn	armo	weap									0	0	0
Archer's	100	1		60		45			2	300	skilltab	0	6	6										cgrn	armo	weap									0	0	0
Acrobat's	100	1	1	1		15			4	301	skilltab	1	2	2										dred	armo	weap									0	0	0
Gymnast's	100	1	1	40		30			3	301	skilltab	1	4	4										lred	armo	weap									0	0	0
Athlete's	100	1		60		45			2	301	skilltab	1	6	6										cred	armo	weap									0	0	0
Harpoonist's	100	1	1	1		15			4	302	skilltab	2	2	2										dblu	armo	weap									0	0	0
Spearmaiden's	100	1	1	40		30			3	302	skilltab	2	4	4										lblu	armo	weap									0	0	0
Lancer's	100	1		60		45			2	302	skilltab	2	6	6										cblu	armo	weap									0	0	0
of the Jackal	100	1	1	1		3			7	303	hp		2	10										oran	armo	weap									0	0	0
of the Fox	100	1	1	11		8			6	303	hp		12	20										oran	armo	weap									0	0	0
of the Wolf	100	1	1	27		20			5	303	hp		22	40										dred	armo	weap									0	0	0
of the Tiger	100	1	1	43		35			4	303	hp		42	60										dred	armo	weap									0	0	0
of the Mammoth	100	1	1	59		51			3	303	hp		62	80										cred	armo	weap									0	0	0
of the Colossus	100	1		75		67			2	303	hp		82	120										cred	armo	weap									0	0	0
Lizard's	100	1	1	3		2			5	303	mana		2	10										dgrn	armo	weap									0	0	0
Snake's	100	1	1	12		9			4	303	mana		10	20										dgrn	armo	weap									0	0	0
Serpent's	100	1	1	23		16			3	303	mana		22	40										dblu	armo	weap									0	0	0
Drake's	100	1	1	34		26			3	303	mana		42	60									1	dblu	armo	weap									0	0	0
Dragon's	100	1	1	45		37			2	303	mana		62	80									1	cblu	armo	weap									0	0	0
