Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	300	300	300	300	300	300	300	10
0	0	0	0	0	0	0	0	1024
1	167	167	167	167	167	167	167	1024
2	333	333	333	333	333	333	333	1024
3	500	500	500	500	500	500	500	1024
4	833	833	833	833	833	833	833	1024
5	1167	1167	1167	1167	1167	1167	1167	1024
6	1500	1500	1500	1500	1500	1500	1500	1024
7	2250	2250	2250	2250	2250	2250	2250	1024
8	3000	3000	3000	3000	3000	3000	3000	1024
9	3750	3750	3750	3750	3750	3750	3750	1024
10	5125	5125	5125	5125	5125	5125	5125	1024
11	6500	6500	6500	6500	6500	6500	6500	1024
12	7875	7875	7875	7875	7875	7875	7875	1024
13	9975	9975	9975	9975	9975	9975	9975	1024
14	12075	12075	12075	12075	12075	12075	12075	1024
15	14175	14175	14175	14175	14175	14175	14175	1024
16	17010	17010	17010	17010	17010	17010	17010	1024
17	19845	19845	19845	19845	19845	19845	19845	1024
18	22680	22680	22680	22680	22680	22680	22680	1024
19	26082	26082	26082	26082	26082	26082	26082	1024
20	29484	29484	29484	29484	29484	29484	29484	1024
21	32886	32886	32886	32886	32886	32886	32886	1024
22	36723	36723	36723	36723	36723	36723	36723	1024
23	40559	40559	40559	40559	40559	40559	40559	1024
24	44396	44396	44396	44396	44396	44396	44396	1024
25	48836	48836	48836	48836	48836	48836	48836	1024
26	53275	53275	53275	53275	53275	53275	53275	1024
27	57715	57715	57715	57715	57715	57715	57715	1024
28	62525	62525	62525	62525	62525	62525	62525	1024
29	67334	67334	67334	67334	67334	67334	67334	1024
30	72144	72144	72144	72144	72144	72144	72144	1024
31	78156	78156	78156	78156	78156	78156	78156	1024
32	84168	84168	84168	84168	84168	84168	84168	1024
33	90180	90180	90180	90180	90180	90180	90180	1024
34	97695	97695	97695	97695	97695	97695	97695	1024
35	105210	105210	105210	105210	105210	105210	105210	1024
36	112725	112725	112725	112725	112725	112725	112725	1024
37	122119	122119	122119	122119	122119	122119	122119	1024
38	131512	131512	131512	131512	131512	131512	131512	1024
39	140906	140906	140906	140906	140906	140906	140906	1024
40	152648	152648	152648	152648	152648	152648	152648	1024
41	164390	164390	164390	164390	164390	164390	164390	1024
42	176132	176132	176132	176132	176132	176132	176132	1024
43	190810	190810	190810	190810	190810	190810	190810	1024
44	205487	205487	205487	205487	205487	205487	205487	1024
45	220165	220165	220165	220165	220165	220165	220165	1024
46	238512	238512	238512	238512	238512	238512	238512	1024
47	256860	256860	256860	256860	256860	256860	256860	1024
48	275207	275207	275207	275207	275207	275207	275207	1024
49	298141	298141	298141	298141	298141	298141	298141	1024
50	321074	321074	321074	321074	321074	321074	321074	1024
51	344008	344008	344008	344008	344008	344008	344008	1024
52	372675	372675	372675	372675	372675	372675	372675	1024
53	401343	401343	401343	401343	401343	401343	401343	1024
54	430010	430010	430010	430010	430010	430010	430010	1024
55	465844	465844	465844	465844	465844	465844	465844	1024
56	501679	501679	501679	501679	501679	501679	501679	1024
57	537513	537513	537513	537513	537513	537513	537513	1024
58	582306	582306	582306	582306	582306	582306	582306	1024
59	627098	627098	627098	627098	627098	627098	627098	1024
60	671891	671891	671891	671891	671891	671891	671891	1024
61	727882	727882	727882	727882	727882	727882	727882	1024
62	783873	783873	783873	783873	783873	783873	783873	1024
63	839864	839864	839864	839864	839864	839864	839864	1024
64	909853	909853	909853	909853	909853	909853	909853	1024
