name	code
amulet	amu
ring	rin
Hand Axe	hax
Axe	axe
Double Axe	2ax
Military Pick	mpi
War Axe	wax
Large Axe	lax
Broad Axe 	bax
Battle Axe	btx
Great Axe	gax
Giant Axe	gix
Club	clb
Spiked Club	spc
Mace	mac
Morning Star	mst
Flail	fla
War Hammer	whm
Maul	mau
Great Maul	gma
Short Sword	ssd
Scimitar	scm
Saber	sbr
Falchion	flc
Crystal Sword	crs
Broad Sword	bsd
Long Sword 	lsd
War Sword	wsd
Two-Handed Sword	2hs
Claymore	clm
Giant Sword	gis
Bastard Sword	bsw
Flamberge	flb
Great Sword	gsd
Dagger	dgr
Dirk	dir
Kriss	kri
Blade	bld
Spear	spr
Trident	tri
Brandistock	brn
Spetum	spt
Pike	pik
Bardiche	bar
Voulge	vou
Scythe	scy
Poleaxe	pax
Halberd	hal
War Scythe	wsc
Short Bow	sbw
Hunter's Bow	hbw
Long Bow	lbw
Composite Bow	cbw
Short Battle Bow	sbb
Long Battle Bow	lbb
Short War Bow	swb
Long War Bow	lwb
Light Crossbow	lxb
Crossbow	mxb
Heavy Crossbow	hxb
Repeating Crossbow	rxb
Cap/hat	cap
Skull Cap	skp
Helm	hlm
Full Helm	fhl
Great Helm	ghm
Crown	crn
Mask	msk
Quilted Armor	qui
Leather Armor	lea
Hard Leather Armor	hla
Studded Leather 	stu
Ring Mail	rng
Scale Mail	scl
Chain Mail	chn
Breast Plate	brs
Splint Mail	spl
Plate Mail	plt
Field Plate	fld
Gothic Plate	gth
Full Plate Mail	ful
Ancient Armor	aar
Light Plate	ltp
Buckler	buc
Small Shield	sml
Large Shield	lrg
Kite Shield	kit
Tower Shield	tow
Gothic Shield	gts
Gloves(L)	lgl
Heavy Gloves	vgl
Bracers(M)	mgl
Light Gauntlets	tgl
Gaunlets(H)	hgl
Leather Boots	lbt
Heavy Boots	vbt
Chain Boots	mbt
Light Plate Boots	tbt
Plate Boots	hbt
Sash(L)	lbl
Light Belt	vbl
Belt(M)	mbl
Heavy Belt	tbl
Girdle(H)	hbl
Bone Helm	bhm
Bone Shield	bsh
Spiked Shield	spk
Expansion	
Throwing Knife	tkf
Throwing Axe	tax
Balanced Knife	bkf
Balanced Axe	bal
Javelin	jav
Pilum	pil
Short Spear	ssp
Glaive	glv
Throwing Spear	tsp
Katar	ktr
Wrist Blade	wrb
Axe Fist	axf
Cestus	ces
Claws	clw
Blade Talons	btl
Scissors Katar	skr
Circlet	ci0
Coronet	ci1
cloak	1ck
cloak2	2ck
cloak3	3ck
cloak4	4ck
cloak5	5ck
cloak6	6ck
cloak7	7ck
cloak8	8ck
cloak9	9ck
Short Staff	sst
Long Staff	lst
Gnarled Staff	cst
Battle Staff	bst
War Staff	wst
Wand	wnd
Yew Wand	ywn
Bone Wand	bwn
Grim Wand	gwn
Scepter	scp
Grand Scepter	gsc
War Scepter	wsp
Eagle Orb	ob1
Sacred Globe	ob2
Smoked Sphere	ob3
Clasped Orb	ob4
Jewel	jew
Chipped Amethyst	gcv
Flawed Amethyst	gfv
Amethyst	gsv
Flawless Amethyst	gzv
Perfect Amethyst	gpv
Chipped Topaz	gcy
Flawed Topaz	gfy
Topaz	gsy
Flawless Topaz	gly
Perfect Topaz	gpy
Chipped Saphire	gcb
Flawed Saphire	gfb
Saphire	gsb
Flawless Saphire	glb
Perfect Saphire	gpb
Chipped Emerald	gcg
Flawed Emerald	gfg
Emerald	gsg
Flawless Emerald	glg
Perfect Emerald	gpg
Chipped Ruby	gcr
Flawed Ruby	gfr
Ruby	gsr
Flawless Ruby	glr
Perfect Ruby	gpr
Chipped Diamond	gcw
Flawed Diamond	gfw
Diamond	gsw
Flawless Diamond	glw
Perfect Diamond	gpw
Chipped Skull	skc
Flawed Skull	skf
Skull	sku
Flawless Skull	skl
Perfect Skull	skz
Jarad's Stone	ob5
