name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Chipped Amethyst		18	gcv	3	att	0	150	150	dmg-max	0	5	5	dmg%	0	10	10	str	0	10	10	dur%	0	10	10	ac%	0	15	15	ac	0	10	10	regen	0	2	2	ac	0	7	7
Flawed Amethyst		18	gfv	3	att	0	170	170	dmg-max	0	7	7	dmg%	0	15	15	str	0	15	15	dur%	0	20	20	ac%	0	20	20	ac	0	15	15	regen	0	3	3	ac	0	10	10
Amethyst		18	gsv	3	att	0	190	190	dmg-max	0	12	12	dmg%	0	25	25	str	0	20	20	dur%	0	30	30	ac%	0	25	25	ac	0	20	20	regen	0	4	4	ac	0	13	13
Flawless Amethyst		18	gzv	3	att	0	230	230	dmg-max	0	18	18	dmg%	0	35	35	str	0	25	25	dur%	0	40	40	ac%	0	30	30	ac	0	30	30	regen	0	5	5	ac	0	16	16
Perfect Amethyst		17	gpv	3	bar	0	1	1	dmg-max	0	23	23	dmg%	0	45	45	str	0	30	30	dur%	0	60	60	ac%	0	40	40	ac	0	40	40	regen	0	6	6	ac	0	20	20
Chipped Saphire		5	gcb	3	cold-min	0	3	3	cold-max	0	10	10	dmg%	0	5	5	mana	0	5	5	mana-kill	0	2	2	regen-mana	0	4	4	res-cold	0	12	12	str	0	2	2	hp	0	5	5
Flawed Saphire		5	gfb	3	cold-min	0	5	5	cold-max	0	15	15	dmg%	0	10	10	mana	0	10	10	mana-kill	0	4	4	regen-mana	0	7	7	res-cold	0	16	16	str	0	3	3	hp	0	6	6
Saphire		5	gsb	3	cold-min	0	7	7	cold-max	0	20	20	dmg%	0	15	15	mana	0	15	15	mana-kill	0	6	6	regen-mana	0	10	10	res-cold	0	22	22	str	0	5	5	hp	0	8	8
Flwless Saphire		5	glb	3	cold-min	0	10	10	cold-max	0	30	30	dmg%	0	20	20	mana	0	20	20	mana-kill	0	8	8	regen-mana	0	13	13	res-cold	0	28	28	str	0	7	7	hp	0	10	10
Perfect Saphire		6	gpb	3	cold-min	0	20	20	cold-max	0	40	40	dru	0	1	1	mana	0	25	25	mana-kill	0	10	10	regen-mana	0	15	15	ass	0	1	1	str	0	9	9	hp	0	12	12
Chipped Emerald		11	gcg	3	dmg-max	0	5	5	dmg-min	0	5	5	dur%	0	75	75	dex	0	8	8	balance3	0	3	3	move3	0	5	5	res-pois	0	24	24	res-pois-len	0	5	5	block3	0	5	5
Flawed Emerald		11	gfg	3	dmg-max	0	7	7	dmg-min	0	7	7	dur%	0	100	100	dex	0	12	12	balance3	0	5	5	move3	0	7	7	res-pois	0	32	32	res-pois-len	0	8	8	block3	0	6	6
Emerald		11	gsg	3	dmg-max	0	10	10	dmg-min	0	10	10	dur%	0	125	125	dex	0	16	16	balance3	0	7	7	move3	0	9	9	res-pois	0	40	40	res-pois-len	0	12	12	block3	0	7	7
Flawless Emerald		11	glg	3	dmg-max	0	15	15	dmg-min	0	15	15	dur%	0	150	150	dex	0	22	22	balance3	0	10	10	move3	0	15	15	res-pois	0	48	48	res-pois-len	0	16	16	block3	0	8	8
