Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	0	0	271	1	1	15	150	merc01	merc41	100	1	500	11	15	8	35	14	45	22	10	20		2	6	3	0	6	bow		farw	75	Inner Sight	4	10	4	2	2	Fire Arrow	4	25	8	4	2																									2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	15	150	merc01	merc41	100	1	442	18	147	17	63	14	89	22	230	40	1	14	18	6	44	5	bow		farw	75	Inner Sight	4	10	4	16	2	Fire Arrow	4	69	0	32	2																									2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	15	150	merc01	merc41	100	1	1066	35	435	25	93	14	137	22	710	60	2	38	42	8	86	4	bow		farw	75	Inner Sight	4	10	4	32	2	Fire Arrow	4	69	0	64	2																									2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	15	150	merc01	merc41	150	1	500	11	15	8	35	14	45	22	10	20		2	6	3	0	6	bow		carw	75	Inner Sight	4	10	4	2	2	Cold Arrow	4	25	2	4	2																									2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	15	150	merc01	merc41	150	1	442	17	147	17	63	14	89	22	230	40	1	14	18	6	44	5	bow		carw	75	Inner Sight	4	10	4	16	2	Cold Arrow	4	36	0	32	2																									2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	15	150	merc01	merc41	150	1	1018	22	435	25	93	14	137	22	710	60	2	38	42	8	86	4	bow		carw	75	Inner Sight	4	10	4	32	2	Cold Arrow	4	36	0	64	2																									2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	100	150	merc01	merc41	6000	1	500	17	132	17	60	14	84	22	207	40	1	12	16	6	41	5	bow		farw	75	Inner Sight	4	10	4	14	2	Fire Arrow	4	69	0	28	2																									2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	100	150	merc01	merc41	6000	1	974	22	420	25	90	14	132	22	687	60	2	36	40	8	83	4	bow		farw	75	Inner Sight	4	10	4	30	2	Fire Arrow	4	69	0	60	2																									2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	100	150	merc01	merc41	7500	1	398	17	132	17	60	14	84	22	207	40	1	12	16	6	41	5	bow		carw	75	Inner Sight	4	10	4	14	2	Cold Arrow	4	69	0	28	2																									2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	100	150	merc01	merc41	7500	1	974	22	420	25	90	14	132	22	687	60	2	36	40	8	83	4	bow		carw	75	Inner Sight	4	10	4	30	2	Cold Arrow	4	69	0	60	2																									2	1	2	0
Rogue Scout	Fire - Hell	0	4	271	1	3	180	150	merc01	merc41	12500	1	876	22	378	25	87	14	127	22	618	60	2	34	38	8	80	4	bow		farw	75	Inner Sight	4	10	4	28	2	Fire Arrow	4	69	0	56	2																									2	1	2	0
Rogue Scout	Ice - Hell	0	5	271	1	3	180	150	merc01	merc41	14000	1	876	22	378	25	87	14	127	22	618	60	2	34	38	8	80	4	bow		carw	75	Inner Sight	4	10	4	28	2	Cold Arrow	4	69	0	56	2																									2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	15	150	merc01	merc41	100	1	500	13	15	11	35	14	45	22	10	24		2	6	3	0	6	bow		farw	75	Inner Sight	4	10	4	2	2	Fire Arrow	4	25	5	4	2																									2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	15	150	merc01	merc41	100	1	684	25	279	21	77	14	111	22	406	48	1	18	22	6	66	5	bow		farw	75	Inner Sight	4	10	4	24	2	Fire Arrow	4	67	0	48	2																									2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	15	150	merc01	merc41	100	1	1800	42	744	31	116	14	173	22	1150	72	2	50	54	8	121	4	bow		farw	75	Inner Sight	4	10	4	44	2	Fire Arrow	4	67	0	88	2																									2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	15	150	merc01	merc41	150	1	500	13	15	11	35	14	45	22	10	24		2	6	3	0	6	bow		carw	75	Inner Sight	4	10	4	2	2	Cold Arrow	4	25	5	4	2																									2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	15	150	merc01	merc41	150	1	684	25	279	21	77	14	111	22	406	48	1	18	22	6	66	5	bow		carw	75	Inner Sight	4	10	4	24	2	Cold Arrow	4	67	0	48	2																									2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	15	150	merc01	merc41	150	1	1800	42	744	31	116	14	173	22	1150	72	2	50	54	8	121	4	bow		carw	75	Inner Sight	4	10	4	44	2	Cold Arrow	4	67	0	88	2																									2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	100	150	merc01	merc41	6000	1	616	25	251	21	74	14	106	22	365	48	1	16	20	6	63	5	bow		farw	75	Inner Sight	4	10	4	22	2	Fire Arrow	4	69	0	44	2																									2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	100	150	merc01	merc41	6000	1	1732	42	716	31	113	14	168	22	1109	72	2	48	52	8	118	4	bow		farw	75	Inner Sight	4	10	4	42	2	Fire Arrow	4	69	0	84	2																									2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	100	150	merc01	merc41	7500	1	616	25	251	21	74	14	106	22	365	48	1	16	20	6	63	5	bow		carw	75	Inner Sight	4	10	4	22	2	Cold Arrow	4	69	0	44	2																									2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	100	150	merc01	merc41	7500	1	1732	42	716	31	113	14	168	22	1109	72	2	48	52	8	118	4	bow		carw	75	Inner Sight	4	10	4	42	2	Cold Arrow	4	69	0	84	2																									2	1	2	0
Rogue Scout	Fire - Hell	100	4	271	1	3	180	150	merc01	merc41	12500	1	1558	42	644	31	110	14	163	22	998	72	2	46	50	8	115	4	bow		farw	75	Inner Sight	4	10	4	40	2	Fire Arrow	4	69	0	80	2																									2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	180	150	merc01	merc41	14000	1	1558	42	644	31	110	14	163	22	998	72	2	46	50	8	115	4	bow		carw	75	Inner Sight	4	10	4	40	2	Cold Arrow	4	69	0	80	2																									2	1	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	40	198	merca201	merca221	350	1	1000	14	45	13	57	20	40	17	20	20	1	14	28	6	18	6	pole	spea	comb	75	Jab	14	70	4	6	2	Prayer	1	10	0	12	2																									2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	40	198	merca201	merca221	350	1	680	28	243	22	96	20	73	17	240	40	3	36	50	8	62	5	pole	spea	comb	75	Jab	14	92	4	20	2	Prayer	1	10	0	40	2																									2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	40	198	merca201	merca221	350	1	1640	49	627	34	138	20	109	17	720	60	4	72	86	11	104	3	pole	spea	comb	75	Jab	14	116	4	36	2	Prayer	1	10	0	72	2																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	40	198	merca201	merca221	350	1	1000	14	45	13	57	20	40	17	20	20	1	14	28	6	18	6	pole	spea	def	75	Jab	14	70	4	6	2	Defiance	1	10	0	12	2																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	40	198	merca201	merca221	350	1	680	28	243	22	96	20	73	17	240	40	3	36	50	8	62	5	pole	spea	def	75	Jab	14	92	4	20	2	Defiance	1	10	0	40	2																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	40	198	merca201	merca221	350	1	1640	49	627	34	138	20	109	17	720	60	4	72	86	11	104	3	pole	spea	def	75	Jab	14	116	4	36	2	Defiance	1	10	0	72	2																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	40	198	merca201	merca221	350	1	1000	14	45	13	57	20	40	17	20	20	1	14	28	6	18	6	pole	spea	off	75	Jab	14	70	4	6	2	Conviction	1	10	0	12	2																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	40	198	merca201	merca221	350	1	1000	28	243	22	96	20	73	17	240	40	3	36	50	8	62	5	pole	spea	off	75	Jab	14	92	4	20	2	Conviction	1	10	0	40	2																									2	2	2	0
