Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	60	96	1	60	96	5	96	190	5	96	190	6	103	815	6	103	815	2	3	4	2	3	4	23	60	91	23	60	91
2	3	62	99	3	62	99	7	102	203	7	102	203	6	105	823	6	105	823	2	3	4	2	3	4	26	69	104	26	69	104
3	4	64	103	4	76	121	8	108	216	8	108	216	7	107	830	7	107	1107	2	3	4	2	3	4	30	78	117	30	78	117
4	6	67	106	6	78	125	9	114	229	9	114	229	8	109	837	8	109	1117	2	3	5	2	3	5	33	87	130	33	87	130
5	7	69	110	7	81	129	11	120	241	11	120	241	8	111	845	8	111	1126	3	4	5	3	4	5	37	95	143	37	95	143
6	8	71	113	8	84	133	12	126	254	12	126	254	9	113	852	9	113	1136	3	4	6	3	4	6	40	104	156	40	104	156
7	10	74	117	10	87	137	14	132	267	14	132	267	10	115	860	10	115	1146	3	4	6	3	4	6	43	113	170	43	113	170
8	11	76	120	11	90	141	16	138	279	16	138	279	11	118	867	11	118	1157	3	4	6	3	4	6	47	122	183	47	122	183
9	13	78	124	13	92	146	18	144	292	18	144	292	12	120	875	12	120	1167	3	4	6	3	4	6	50	131	197	50	131	197
10	14	81	127	14	95	150	21	150	305	21	150	305	13	122	882	13	122	1177	3	4	6	3	4	6	53	139	209	53	139	209
11	15	83	131	15	98	154	23	156	317	23	156	317	14	123	890	14	123	1186	4	5	7	4	5	7	57	148	222	57	148	222
12	17	85	134	17	101	158	26	162	330	26	162	330	15	125	897	15	125	1196	4	5	7	4	5	7	60	156	234	60	156	234
13	18	88	138	18	104	162	29	168	343	29	168	343	16	127	905	16	127	1206	4	5	7	4	5	7	63	165	247	63	165	247
14	20	90	141	20	106	166	32	174	355	32	174	355	16	130	912	16	130	1217	4	5	7	4	5	7	67	173	260	67	173	260
15	21	93	145	21	109	170	35	180	368	35	180	368	17	132	920	17	132	1227	4	5	7	4	5	7	70	182	273	70	182	273
16	22	95	148	22	112	174	38	186	381	38	186	381	18	134	927	18	134	1237	4	6	8	4	6	8	73	190	286	73	190	286
17	24	98	152	24	115	179	42	192	393	42	192	393	19	137	935	19	137	1246	5	6	8	5	6	8	77	199	298	77	199	298
18	25	100	155	25	118	183	45	198	406	45	198	406	20	139	942	20	139	1256	5	7	9	5	7	9	80	207	311	80	207	311
19	27	102	159	27	120	187	49	204	419	49	204	419	21	141	950	21	141	1266	5	7	9	5	7	9	83	216	324	83	216	324
20	28	105	162	28	123	190	52	210	431	52	210	431	22	143	957	22	143	1277	5	7	9	5	7	9	87	225	338	87	225	338
21	29	107	165	29	126	195	56	216	444	56	216	444	23	145	965	23	145	1287	5	7	9	5	7	9	90	234	351	90	234	351
22	31	109	169	31	129	199	60	222	457	60	222	457	24	147	972	24	147	1297	5	7	10	5	7	10	93	243	364	93	243	364
23	32	112	173	32	132	203	63	228	469	63	228	469	26	150	980	26	150	1306	6	8	10	6	8	10	97	251	377	97	251	377
24	34	114	176	34	134	207	67	234	482	67	234	482	27	152	987	27	152	1316	6	8	11	6	8	11	100	260	390	100	260	390
25	35	116	180	35	137	211	71	240	495	71	240	495	28	154	995	28	154	1326	6	8	12	6	8	12	103	268	403	103	268	403
26	36	119	183	36	140	216	74	246	507	74	246	507	30	155	1002	30	155	1337	7	9	12	7	9	12	107	277	415	107	277	415
27	38	121	187	38	143	220	78	252	520	78	252	520	31	157	1010	31	157	1347	7	9	13	7	9	13	110	285	428	110	285	428
28	39	124	190	39	146	224	82	258	533	82	258	533	32	159	1017	32	159	1357	7	9	13	7	9	13	113	294	441	113	294	441
29	41	126	193	41	148	228	85	264	545	85	264	545	34	162	1025	34	162	1366	7	9	13	7	9	13	117	303	455	117	303	455
30	42	129	197	42	151	232	89	270	558	89	270	558	35	164	1032	35	164	1376	7	9	13	7	9	13	120	312	468	120	312	468
31	43	131	200	43	154	236	93	276	571	93	276	571	35	166	1040	35	166	1386	7	10	14	7	10	14	123	321	481	123	321	481
32	45	134	204	45	157	240	96	282	583	96	282	583	36	169	1047	36	169	1397	8	10	14	8	10	14	127	329	494	127	329	494
33	46	136	208	46	160	244	100	288	596	100	288	596	36	171	1055	36	171	1407	8	11	15	8	11	15	130	338	507	130	338	507
34	48	138	211	48	162	249	104	294	609	104	294	609	37	173	1062	37	173	1417	8	11	15	8	11	15	133	346	520	133	346	520
35	49	141	214	49	165	252	107	300	621	107	300	621	39	175	1070	39	175	1426	8	11	15	8	11	15	137	355	532	137	355	532
36	50	143	218	50	168	256	111	306	634	111	306	634	40	177	1077	40	177	1436	8	11	15	8	11	15	140	363	545	140	363	545
37	52	145	221	52	171	260	115	312	647	115	312	647	41	179	1085	41	179	1446	8	11	16	8	11	16	145	376	564	145	376	564
38	53	148	225	53	174	265	118	318	659	118	318	659	43	182	1092	43	182	1457	9	12	16	9	12	16	149	388	583	149	388	583
39	55	150	228	55	176	269	122	324	672	122	324	672	44	184	1100	44	184	1467	9	12	17	9	12	17	154	401	602	154	401	602
40	56	152	232	56	179	273	126	330	685	126	330	685	45	186	1107	45	186	1477	9	12	18	9	12	18	159	414	621	159	414	621
41	57	155	236	57	182	277	129	336	697	129	336	697	47	187	1115	47	187	1486	10	13	18	10	13	18	164	427	641	164	427	641
42	59	157	239	59	185	281	133	342	710	133	342	710	48	189	1122	48	189	1496	10	13	19	10	13	19	169	440	660	169	440	660
43	60	160	243	60	188	286	137	348	723	137	348	723	49	191	1130	49	191	1506	10	13	19	10	13	19	175	454	681	175	454	681
44	62	162	246	62	190	289	140	354	735	140	354	735	51	194	1137	51	194	1517	10	13	19	10	13	19	180	468	702	180	468	702
45	63	165	249	63	193	293	144	360	748	144	360	748	52	196	1145	52	196	1527	10	13	19	10	13	19	186	482	723	186	482	723
46	64	167	253	64	196	298	148	366	761	148	366	761	53	198	1152	53	198	1537	10	14	19	10	14	19	192	499	749	192	499	749
47	66	169	256	66	199	302	151	372	773	151	372	773	55	201	1160	55	201	1546	11	14	20	11	14	20	199	516	774	199	516	774
48	67	172	260	67	202	306	155	378	786	155	378	786	56	203	1167	56	203	1556	11	15	20	11	15	20	205	533	800	205	533	800
49	69	174	263	69	204	310	159	384	799	159	384	799	57	205	1175	57	205	1566	11	15	20	11	15	20	212	550	825	212	550	825
50	70	176	267	70	207	314	162	390	811	162	390	811	59	207	1182	59	207	1577	11	15	20	11	15	20	218	567	851	218	567	851
51	71	179	270	71	210	318	166	396	824	166	396	824	60	209	1190	60	209	1587	11	15	20	11	15	20	225	584	876	225	584	876
52	73	181	274	73	213	322	170	402	837	170	402	837	61	211	1197	61	211	1597	11	15	21	11	15	21	233	604	906	233	604	906
53	74	183	277	74	216	326	173	408	849	173	408	849	63	214	1205	63	214	1606	12	16	21	12	16	21	240	624	936	240	624	936
54	76	186	281	76	218	330	177	414	862	177	414	862	64	216	1212	64	216	1616	12	16	22	12	16	22	248	644	966	248	644	966
55	77	188	284	77	221	335	181	420	875	181	420	875	65	218	1220	65	218	1626	12	16	23	12	16	23	256	665	998	256	665	998
56	78	190	288	78	224	339	184	426	887	184	426	887	67	219	1227	67	219	1637	13	17	23	13	17	23	265	687	1030	265	687	1030
57	80	193	292	80	227	343	188	432	900	188	432	900	68	221	1235	68	221	1647	13	17	24	13	17	24	273	708	1062	273	708	1062
58	81	195	295	81	230	347	192	438	913	192	438	913	70	223	1242	70	223	1657	13	17	24	13	17	24	282	732	1098	282	732	1098
59	83	197	298	83	232	351	195	444	925	195	444	925	71	226	1250	71	226	1666	13	17	24	13	17	24	291	755	1133	291	755	1133
60	84	200	302	84	235	355	199	450	938	199	450	938	73	228	1257	73	228	1676	13	17	24	13	17	24	300	779	1169	300	779	1169
61	85	202	305	85	238	359	203	456	951	203	456	951	75	231	1265	75	231	1686	13	18	25	13	18	25	310	805	1208	310	805	1208
