Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
skeleton1	0	skeleton1	skeleton2	0	Skeleton	skeleton1		skeleton	Skeleton		SK	1													1	2		4	4	2	7	134	245	skeleton	skeleton	10	15	14	13				60	65	70	15	12	10	75	80	85	75	75	75																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25						30	9	0	0	28	0	53	46	0	0	140	0	105	2				15	30	60	5	1743	2618	126	225	258	387	404	34	152	606				2615	3927	150	272	387	581	720	51	228	750				4880	7330	150	490	722	1084	960	68	304	1000																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
skeleton2	1	skeleton1	skeleton3	1	Returned	skeleton2		skeleton	Skeleton		SK	1													1	2		6	6	2	22	138	248	skeleton	skeleton	10	15	14	13				70	75	80	12	10	7	80	85	90	25	25	25																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25						30	9	0	0	0	0	70	46	0	0	0	0	140	2				23	45	90	5	1763	2574	126	225	261	381	372	41	152	558				2645	3861	150	272	392	572	720	62	228	750				4936	7207	150	490	731	1067	960	82	304	1000																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton3	2	skeleton1	skeleton4	2	BoneWarrior	skeleton3		skeleton	Skeleton		SK	1													1	3		6	6	2	26	143	306	skeleton	skeleton	10	15	14	13				80	85	90	9	8	7	85	90	95	50	50	50																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25					60	30	9	0	0	0	77	53	46	0	0	0	154	105	2				30	60	120	5	1806	2516	126	222	267	372	376	41	182	564				2709	3774	150	272	401	558	720	62	273	750				5057	7045	150	490	748	1042	960	82	364	1000																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton4	3	skeleton1	skeleton5	3	BurningDead	skeleton4		skeleton	Skeleton		SK	1													1	3		7	7	2	49	156	266	skeleton	skeleton	10	15	14	13				90	95	95	7	6	5	90	95	99	66	66	66																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25			75			30	9	0	28	0	0	53	46	0	140	0	0	105	2				38	75	150	5	1887	2699	126	222	279	399	372	34	152	558				2831	4049	150	272	419	599	720	51	228	750				5284	7557	150	490	781	1117	880	68	304	1000				A1	fire	50	22	55		50	25	55		50	25	55																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
skeleton5	4	skeleton1	skeleton6	4	Horror	skeleton5		skeleton	Skeleton		SK	1													1	3		7	7	2	53	160	281	skeleton	skeleton	10	15	14	13				99	99	99	5	5	5	95	99	99	33	33	33																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25		40		80		30	9	20	0	34	0	53	46	98	0	168	0	105	2				45	90	180	5	1907	2657	126	222	282	393	376	31	152	564				2861	3986	150	272	423	590	720	47	228	750				5340	7440	150	490	790	1100	960	62	304	920				A2	ltng	60	30	60		60	30	50		60	30	50																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
zombie1	5	zombie1	zombie2	0	Zombie	zombie1		zombie	Zombie		ZM	1													1	2		1	4	2	3	132	241	zombie	zombieunique	10	15	14	13				30	40	50	10	15	20				20	25	30																						1	1					1							1	1							1																										100	75	50	-50	-40	-25						30	14	0	0	0	84	53	70	0	0	0	168	105	2				5	9	18	5	2048	3671	126	291	303	543	404	101	227	606				3072	5507	120	335	455	815	630	152	341	660				5734	10279	120	605	848	1520	840	202	454	880																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie2	6	zombie1	zombie3	1	HungryDead	zombie2		zombie	Zombie		ZM	1													1	2		1	6	2	10	134	245	zombie	zombieunique	10	15	14	13				40	50	60	15	20	25				25	30	35																						1	1					1							1	1							1																										100	75	50	-50	-40	-25						30	14	0	0	31	0	53	70	0	0	154	0	105	2				6	12	24	5	2048	3771	126	291	303	558	404	101	201	606				3072	5657	120	335	455	837	630	152	302	660				5734	10559	120	605	848	1562	840	202	402	880																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie3	7	zombie1	zombie4	2	Ghoul	zombie3		zombie	Zombie		ZM	1													1	2		1	6	2	45	156	263	zombie	zombieunique	10	15	14	13				50	60	70	20	25	30				30	35	40																						1	1					1							1	1							1																										100	75	50	-50	-40	-25						30	14	0	28	0	0	53	70	0	140	0	0	105	2				20	39	78	5	2192	3993	126	286	324	591	372	113	245	558				3288	5990	120	335	486	887	630	170	368	660				6138	11180	120	605	907	1655	840	226	490	880																																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
zombie4	8	zombie1	zombie5	3	DrownedCarcass	zombie4		zombie	Zombie		ZM	1													1	3		1	7	2	84	181	288	zombie	zombieunique	10	15	14	13				100	100	100	30	30	30				35	40	45																						1	1					1							1	1							1																										100	75	50	-50	-40	-25	50		75			30	14	0	31	0	0	53	70	0	154	0	0	105	2				33	66	132	5	2169	3893	128	286	321	576	376	108	248	564				3254	5840	120	335	482	864	630	162	372	660				6073	10900	120	605	899	1613	840	216	496	880				A1	cold	75	21	42		75	20	40	75	75	20	40	100																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
zombie5	9	zombie1		4	PlagueBearer	zombie5		zombie	Zombie		ZM	1													2	3		1	7	2	64	168	277	zombie	zombieunique	10	15	14	13				60	70	80	25	30	30				40	45	50																						1	1					1							1	1							1																										100	75	50	-50	-40	-25		75				30	14	28	0	0	0	53	70	140	0	0	0	105	2				26	51	102	5	2211	3893	126	286	327	576	368	101	246	552				3317	5840	120	335	491	864	630	152	369	660				6191	10900	120	605	916	1613	840	202	492	880				A1	pois	50	27	54	400	50	25	25	400	50	25	25	400																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
