npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	128	4	1024	922	1024									50000	300000	1000000
charsi	512	960	128	4	1024	922	1024									50000	300000	1000000
akara	512	1024	128	4	1024	922	1024									50000	300000	1000000
lysander	512	1024	128	9	1024	922	1024									100000	400000	1000000
drognan	512	1024	128	9	1024	922	1024									100000	400000	1000000
elzix	512	1024	128	9	1024	922	1024									100000	400000	1000000
fara	512	1024	128	9	1024	922	1024									100000	400000	1000000
hratli	512	1024	128	17	1024	922	1024									150000	500000	1000000
alkor	512	1024	128	17	1024	922	1024									150000	500000	1000000
ormus	512	1024	128	17	1024	922	1024									150000	500000	1000000
asheara	512	1024	128	17	1024	922	1024									150000	500000	1000000
jamella	512	1024	128	41	1024	922	1024									200000	600000	1000000
halbu	512	1024	128	41	1024	922	1024									200000	600000	1000000
malah	512	2048	128	41	1024	922	1024	35	1024	512	1024					250000	700000	1000000
drehya	512	2048	128	41	1024	922	1024	35	1024	512	1024					250000	700000	1000000
larzuk	512	2048	128	41	1024	922	1024	35	1024	512	1024					250000	700000	1000000
nihlathak	512	2048	128	41	1024	922	1024	35	1024	512	1024					250000	700000	1000000
